연번,구인신청일자,모집기간,사업장명,모집직종,고용형태,임금형태,임금,입사형태,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,담당기관,등록일,연락처
216,2022-12-23,2022-12-23~2023-02-28,주식회사 기프트플랫폼,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9160,무관,0년개월,무관,,,경기도 남양주시 다산중앙로19번길 21 (다산동) 5층 514호,개인,경기북부지사,2022-12-30,1588-1519
15,2022-12-30,2022-12-30~2023-02-28,제이에스텍,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",상용직,시급,9620,무관,0년개월,무관,,,경기도 부천시 오정로 27-26 (삼정동),개인,경기서부지사,2022-12-30,1588-1519
14,2022-12-30,2022-12-30~2023-02-28,고려대학교부속안산병원,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",계약직,시급,9650,무관,무관,무관,보건학,,경기도 안산시 단원구 적금로 123 (고잔동),대기업,경기서부지사,2022-12-30,1588-1519
16,2022-12-30,2022-12-30~2023-01-31,(주)현대그린푸드,단체 급식 보조원,상용직,시급,9620,무관,무관,무관,,,경기도 용인시 수지구 문인로 30 5층 현대그린푸드 (동천동),중소,전남지사,2022-12-30,1588-1519
17,2022-12-30,2022-12-30~2023-01-31,(주)비엘피,물류 사무원(물류 관리사),상용직,월급,3200000,무관,무관,무관,,,경기도 의왕시 장안남북로1길 4 .,중소,경기동부지사,2022-12-30,1588-1519
11,2022-12-30,2022-12-30~2023-01-13,나래에너지서비스,총무 및 일반 사무원,계약직,연봉,30000000,무관,무관,무관,,,경기도 하남시 위례대로4길 29 경영지원팀 (학암동),중소,경기동부지사,2022-12-30,1588-1519
21,2022-12-30,2022-12-30~2022-12-31,밀양시청,사무 보조원(공공기관),계약직,시급,9620,무관,무관,무관,,,경상남도 밀양시 밀양대로 2047 (교동),"공사,공공",울산지사,2022-12-30,1588-1519
25,2022-12-30,2022-12-30~2022-12-31,양산시청,사무 보조원(공공기관),계약직,시급,9620,무관,무관,무관,,,경상남도 양산시 중앙로 39 503-3 (남부동),"공사,공공",울산지사,2022-12-30,1588-1519
27,2022-12-30,2022-12-30~2023-01-31,(주)고려이노테크,직업 운동선수,계약직,시급,9620,무관,무관,무관,,,경상남도 창원시 마산합포구 진전면 팔의사로 495 (주)고려이노테크,중소,경남지사,2022-12-30,1588-1519
30,2022-12-30,2022-12-30~2023-01-02,위드에이블,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",시간제,시급,9620,무관,무관,무관,,,"경상남도 함안군 칠원면 유장길 433 (유원리, 사회복지법인가람 위드에이블)","협회,단체",경남지사,2022-12-30,1588-1519
13,2022-12-30,2022-12-30~2023-01-20,경상북도장애인체육회,직업 운동선수,상용직,시급,9160,무관,무관,무관,체육,,경상북도 경산시 경산로44길 7 2층,"협회,단체",경북지사,2022-12-30,1588-1519
10,2022-12-30,2022-12-30~2023-03-29,영남에너지서비스(주),계기 검침원 및 가스 점검원,계약직,월급,2000000,무관,무관,무관,전기공학,,경상북도 구미시 1공단로6길 94 영남에너지서비스,중소,경북지사,2022-12-30,1588-1519
5,2022-12-30,2022-12-30~2023-03-01,금릉초등학교,사서,계약직,시급,9620,무관,0년개월,무관,,,경상북도 김천시 구읍길 57 (삼락동),"공사,공공",경북지사,2022-12-30,1588-1519
9,2022-12-30,2022-12-30~2023-03-01,김천여자고등학교,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),계약직,시급,9620,무관,0년개월,무관,,,경상북도 김천시 모암사랑10길 9 (모암동),"공사,공공",경북지사,2022-12-30,1588-1519
37,2022-12-30,2022-12-30~2023-01-31,경상북도문경교육지원청,환경 미화원,계약직,시급,9620,무관,0년개월,무관,,,경상북도 문경시 호계면 태봉1길 25 (호계면),"공사,공공",경북지사,2022-12-30,1588-1519
208,2022-12-23,2022-12-23~2022-12-28,경상북도교육청 성주도서관,사서,계약직,월급,1000000,무관,0년개월,무관,,,경상북도 성주군 성주읍 주천로 15-11 (예산리),"공사,공공",대구지역본부,2022-12-30,1588-1519
39,2022-12-30,2022-12-30~2023-01-20,경상북도안동교육지원청,환경 미화원,계약직,시급,9160,무관,무관,무관,,,경상북도 안동시 경동로 554 (당북동),"공사,공공",경북지사,2022-12-30,1588-1519
32,2022-12-30,2022-12-30~2023-01-20,참사랑보호작업장,주입·포장·상표부착기 등 기타 기계 조작원,상용직,시급,9160,무관,무관,무관,,,경상북도 안동시 북후면 광평2길 106-25 (도촌리),"협회,단체",경북지사,2022-12-30,1588-1519
18,2022-12-30,2022-12-30~2023-01-20,안동송현초등학교,환경 미화원,계약직,시급,9160,무관,0년개월,무관,,,경상북도 안동시 송현동 380번지,"공사,공공",경북지사,2022-12-30,1588-1519
29,2022-12-30,2022-12-30~2023-01-20,경상북도교육청,음료 조리사(바리스타 포함),계약직,시급,9620,무관,무관,무관,,,경상북도 안동시 풍천면 도청대로 511 .(갈전리),"공사,공공",경북지사,2022-12-30,1588-1519
28,2022-12-30,2022-12-30~2023-01-31,경상북도교육청 의성도서관,사서,계약직,시급,9620,무관,0년개월,무관,,,"경상북도 의성군 의성읍 중리길 44 (중리리, 의성공공도서관)","공사,공공",경북지사,2022-12-30,1588-1519
35,2022-12-30,2022-12-30~2023-02-20,석적초등학교,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9620,무관,0년개월,무관,,,경상북도 칠곡군 석적읍 남율로12길 76 석적초등학교,"공사,공공",대구지역본부,2022-12-30,1588-1519
1,2022-12-30,2022-12-30~2023-02-28,경원고등학교,학교행정 사무원(교무),계약직,시급,9620,무관,무관,무관,,,대구광역시 달서구 새방로 77 (용산동),"공사,공공",대구지역본부,2022-12-30,1588-1519
4,2022-12-30,2022-12-30~2023-01-20,새론중학교,환경 미화원,계약직,월급,934000,경력,0년12개월,무관,,,대구광역시 동구 이노밸리로 255 (신서동) 새론중학교,"공사,공공",대구지역본부,2022-12-30,1588-1519
116,2022-12-28,2022-12-28~2023-01-31,나라솔루션(주),"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9620,무관,무관,무관,,,대구광역시 수성구 상화로 122-1 (두산동) 나라빌딩,중소,대구지역본부,2022-12-30,1588-1519
26,2022-12-30,2022-12-30~2023-01-02,주식회사 미르어패럴,섬유·의복 분야 단순 종사원,상용직,시급,9620,무관,0년개월,무관,,,"대전광역시 동구 매봉로 18 (가양동, 가양시장) 2층 제5호",중소,대전지역본부,2022-12-30,1588-1519
23,2022-12-30,2022-12-30~2022-12-30,(사)한국장애인공존협회,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",계약직,시급,9620,경력,0년0개월,무관,,,부산광역시 기장군 정관읍 예림1로 82 장애인공존협회,중소,울산지사,2022-12-30,1588-1519
33,2022-12-30,2022-12-30~2023-01-20,종로행복일굼터,지하철 택배원,상용직,월급,1020000,무관,무관,무관,,,서울특별시 종로구 종로43길 9 종로행복일굼터 2~3층 (종로6가),중소,서울지역본부,2022-12-30,1588-1519
12,2022-12-30,2022-12-30~2023-01-30,(주)채널에이,모니터 요원,계약직,월급,900000,무관,무관,무관,,,서울특별시 종로구 청계천로 1 동아미디어센터 (서린동),대기업,서울지역본부,2022-12-30,1588-1519
2,2022-12-30,2022-12-30~2023-01-02,한국수목원정원관리원,사무 보조원(공공기관),계약직,월급,2010580,무관,무관,무관,,,"세종특별자치시 정부2청사로 10 3충 301, 302호(나성동)",중소,대전지역본부,2022-12-30,1588-1519
24,2022-12-30,2022-12-30~2022-12-31,울산남구청,사무 보조원(공공기관),계약직,시급,9620,무관,0년개월,무관,,,울산광역시 남구 돋질로 233 (달동),"공사,공공",울산지사,2022-12-30,1588-1519
8,2022-12-30,2022-12-30~2023-01-31,울산광역시동구청,사무 보조원(공공기관),계약직,시급,9620,무관,무관,무관,,,울산광역시 동구 봉수로 155 (화정동),"공사,공공",울산지사,2022-12-30,1588-1519
20,2022-12-30,2022-12-30~2022-12-31,울산광역시북구청,사무 보조원(공공기관),계약직,시급,9620,무관,0년개월,무관,,,울산광역시 북구 산업로 1010 (연암동) (연암동),"공사,공공",울산지사,2022-12-30,1588-1519
34,2022-12-30,2022-12-30~2022-12-30,울산광역시 울주군청,사무 보조원(공공기관),계약직,시급,9620,무관,무관,무관,,,울산광역시 울주군 청량읍 군청로 1 (울주군청),"공사,공공",울산지사,2022-12-30,1588-1519
22,2022-12-30,2022-12-30~2022-12-31,울산광역시 중구청,사무 보조원(공공기관),계약직,시급,9620,무관,무관,무관,,,울산광역시 중구 단장골길 1 (복산동 180-1),"공사,공공",울산지사,2022-12-30,1588-1519
