모집직종	Classification	Classifcation
음료 조리사(바리스타 포함)		__label__서비스
안마사		__label__서비스
직업 운동선수		__label__전문/특수직
세탁원(다림질원)		__label__서비스
기타 전자 부품·제품 조립·검사원		__label__생산/제조
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
공공행정 사무원		__label__경영/사무
가족·학교·아동·청소년·노인·중독 등 상담 전문가		__label__서비스
사무 보조원(일반사업체)		__label__경영/사무
의료 보조원		__label__의료
총무 및 일반 사무원		__label__경영/사무
건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외)		__label__생산/제조
환경 미화원		__label__서비스
총무 및 일반 사무원		__label__경영/사무
사무 보조원(공공기관)		__label__경영/사무
안마사		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
주차 관리·안내원		__label__서비스
인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원		__label__생산/제조
인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원		__label__생산/제조
주입·포장·상표부착기 등 기타 기계 조작원		__label__생산/제조
사무 보조원(공공기관)		__label__경영/사무
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
기타 전자 부품·제품 조립·검사원		__label__생산/제조
기타 보건·의료 서비스 종사원		__label__서비스
식품 분야 단순 종사원		__label__생산/제조
환경 미화원		__label__서비스
사무 보조원(일반사업체)		__label__경영/사무
모니터 요원		__label__서비스
환경 미화원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원		__label__생산/제조
사무 보조원(일반사업체)		__label__경영/사무
경비 관리자		__label__서비스
음료 조리사(바리스타 포함)		__label__서비스
배송·납품 운전원(납품영업 포함)		__label__서비스
식품 분야 단순 종사원		__label__생산/제조
세탁원(다림질원)		__label__서비스
기타 보건·의료 서비스 종사원		__label__서비스
건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외)		__label__생산/제조
세탁원(다림질원)		__label__서비스
지게차 운전원		__label__서비스
건물 경비원(청사,학교,병원,상가,빌딩,공장 등)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
기타 서비스 단순종사원(사우나,찜질방 정리원 등)		__label__서비스
환경 미화원		__label__서비스
물류 사무원(물류 관리사)		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
시설 요양보호사(노인요양사)		__label__서비스
안마사		__label__서비스
지하철 택배원		__label__무역/유통
주점·커피숍 서빙원		__label__서비스
쇼핑몰택배 준비원		__label__무역/유통
사무 보조원(공공기관)		__label__경영/사무
건물 경비원(청사,학교,병원,상가,빌딩,공장 등)		__label__서비스
기타 서비스 단순종사원(사우나,찜질방 정리원 등)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
식품 분야 단순 종사원		__label__생산/제조
환경 미화원		__label__서비스
음료 조리사(바리스타 포함)		__label__서비스
환경 미화원		__label__서비스
환경 미화원		__label__서비스
환경 미화원		__label__서비스
직업 운동선수		__label__전문/특수직
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
국가·지방행정 사무원		__label__경영/사무
자동차 부분품 조립·검사원		__label__생산/제조
사무 보조원(공공기관)		__label__경영/사무
사무 보조원(공공기관)		__label__경영/사무
환경 미화원		__label__서비스
관광 및 통근·통학·학원 및 기타 버스 운전원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
안마사		__label__서비스
데스크 안내원		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
음료 조리사(바리스타 포함)		__label__서비스
환경 미화원		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
상품 진열원		__label__서비스
음료 조리사(바리스타 포함)		__label__서비스
주입·포장·상표부착기 등 기타 기계 조작원		__label__생산/제조
사무 보조원(공공기관)		__label__경영/사무
기타 보건·의료 서비스 종사원		__label__서비스
인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원		__label__생산/제조
환경 미화원		__label__서비스
그 외 사회복지 종사원		__label__의료
전기·전자 분야 단순 종사원		__label__생산/제조
방역원(해충퇴치원 포함)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
세차원 및 운송장비 청소원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
게임 디자이너		__label__디자인
IT 기술지원 전문가		__label__IT/인터넷
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
그 외 사회복지 종사원		__label__의료
사무 보조원(공공기관)		__label__경영/사무
사무 보조원(공공기관)		__label__경영/사무
의료 보조원		__label__의료
건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외)		__label__생산/제조
세탁원(다림질원)		__label__서비스
대기 환경 기술자 및 연구원		__label__전문/특수직
환경 미화원		__label__서비스
안마사		__label__서비스
기타 서비스 단순종사원(사우나,찜질방 정리원 등)		__label__서비스
사무 보조원(일반사업체)		__label__경영/사무
사서		__label__서비스
직업 운동선수		__label__전문/특수직
사무 보조원(공공기관)		__label__경영/사무
주차 관리·안내원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
환경 미화원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
데스크 안내원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
신발 제조기계 조작원 및 조립원		__label__생산/제조
기타 식품가공 종사원		__label__생산/제조
조경 식재원		__label__서비스
병원 코디네이터		__label__의료
플라스틱 사출성형기 조작원		__label__생산/제조
주차 관리·안내원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
환경 미화원		__label__서비스
의료 보조원		__label__의료
사무 보조원(공공기관)		__label__경영/사무
정보시스템 운영자		
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
사서		__label__서비스
인문과학 연구원		__label__전문/특수직
안마사		__label__서비스
건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외)		__label__생산/제조
건물 경비원(청사,학교,병원,상가,빌딩,공장 등)		__label__서비스
사무 보조원(일반사업체)		__label__경영/사무
단체 급식 보조원		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
가족·학교·아동·청소년·노인·중독 등 상담 전문가		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
사무 보조원(일반사업체)		__label__경영/사무
매장 정리원(매장 보조원)		__label__서비스
관광 및 통근·통학·학원 및 기타 버스 운전원		__label__서비스
안마사		__label__서비스
안마사		__label__서비스
주입·포장·상표부착기 등 기타 기계 조작원		__label__생산/제조
환경 미화원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
기타 전자 부품·제품 조립·검사원		__label__생산/제조
건물 경비원(청사,학교,병원,상가,빌딩,공장 등)		__label__서비스
사무 보조원(일반사업체)		__label__경영/사무
기계·금속 분야 단순 종사원		__label__생산/제조
범용 응용 소프트웨어 프로그래머(ERP,정보처리,재무관리 등)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
사서		__label__서비스
음료 조리사(바리스타 포함)		__label__서비스
주방 보조원(일반 음식점)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
환경 미화원		__label__서비스
사무 보조원(공공기관)		__label__경영/사무
마케팅·광고·홍보·상품기획 사무원		__label__경영/사무
택시 운전원		__label__서비스
섬유·의복 분야 단순 종사원		__label__생산/제조
섬유·의복 분야 단순 종사원		__label__생산/제조
음료 조리사(바리스타 포함)		__label__서비스
환경 미화원		__label__서비스
건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)		__label__서비스
