id,모집직종,고용형태,임금형태,임금,요구경력,요구학력,전공계열,요구자격증,사업장 주소,기업형태,Classification,Company
0,주입·포장·상표부착기 등 기타 기계 조작원,1,0,9160,0,0,0,0,경기도 남양주시 다산중앙로19번길 21 (다산동) 5층 514호,0,생산/제조,주식회사 기프트플랫폼
1,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",1,0,9620,0,0,0,0,경기도 부천시 오정로 27-26 (삼정동),0,생산/제조,제이에스텍
2,"기타 서비스 단순종사원(사우나,찜질방 정리원 등)",0,0,9650,0,0,보건학,0,경기도 안산시 단원구 적금로 123 (고잔동),4,서비스,고려대학교부속안산병원
3,단체 급식 보조원,1,0,9620,0,0,0,0,경기도 용인시 수지구 문인로 30 5층 현대그린푸드 (동천동),1,서비스,(주)현대그린푸드
4,물류 사무원(물류 관리사),1,2,3200000,0,0,0,0,경기도 의왕시 장안남북로1길 4 .,1,서비스,(주)비엘피
5,총무 및 일반 사무원,0,3,30000000,0,0,0,0,경기도 하남시 위례대로4길 29 경영지원팀 (학암동),1,경영/사무,나래에너지서비스
6,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상남도 밀양시 밀양대로 2047 (교동),3,경영/사무,밀양시청
7,사무 보조원(공공기관),0,0,9620,0,0,0,0,경상남도 양산시 중앙로 39 503-3 (남부동),3,경영/사무,양산시청
8,직업 운동선수,0,0,9620,0,0,0,0,경상남도 창원시 마산합포구 진전면 팔의사로 495 (주)고려이노테크,1,전문/특수직,(주)고려이노테크
9,"인쇄, 목재, 가구 및 기타 제조 분야 단순 종사원",2,0,9620,0,0,0,0,"경상남도 함안군 칠원면 유장길 433 (유원리, 사회복지법인가람 위드에이블)",2,생산/제조,위드에이블
10,직업 운동선수,1,0,9160,0,0,체육,0,경상북도 경산시 경산로44길 7 2층,2,전문/특수직,경상북도장애인체육회
11,계기 검침원 및 가스 점검원,0,2,2000000,0,0,전기공학,0,경상북도 구미시 1공단로6길 94 영남에너지서비스,1,서비스,영남에너지서비스(주)
12,사서,0,0,9620,0,0,0,0,경상북도 김천시 구읍길 57 (삼락동),3,서비스,금릉초등학교
13,건물 보수원 및 영선원(아파트 기계·전기 시설관리 제외),0,0,9620,0,0,0,0,경상북도 김천시 모암사랑10길 9 (모암동),3,생산/제조,김천여자고등학교
14,환경 미화원,0,0,9620,0,0,0,0,경상북도 문경시 호계면 태봉1길 25 (호계면),3,서비스,경상북도문경교육지원청
15,사서,0,2,1000000,0,0,0,0,경상북도 성주군 성주읍 주천로 15-11 (예산리),3,서비스,경상북도교육청 성주도서관
16,환경 미화원,0,0,9160,0,0,0,0,경상북도 안동시 경동로 554 (당북동),3,서비스,경상북도안동교육지원청
17,주입·포장·상표부착기 등 기타 기계 조작원,1,0,9160,0,0,0,0,경상북도 안동시 북후면 광평2길 106-25 (도촌리),2,생산/제조,참사랑보호작업장
18,환경 미화원,0,0,9160,0,0,0,0,경상북도 안동시 송현동 380번지,3,서비스,안동송현초등학교
19,음료 조리사(바리스타 포함),0,0,9620,0,0,0,0,경상북도 안동시 풍천면 도청대로 511 .(갈전리),3,서비스,경상북도교육청
20,사서,0,0,9620,0,0,0,0,"경상북도 의성군 의성읍 중리길 44 (중리리, 의성공공도서관)",3,서비스,경상북도교육청 의성도서관
21,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,경상북도 칠곡군 석적읍 남율로12길 76 석적초등학교,3,서비스,석적초등학교
22,학교행정 사무원(교무),0,0,9620,0,0,0,0,대구광역시 달서구 새방로 77 (용산동),3,경영/사무,경원고등학교
23,환경 미화원,0,2,934000,0,0,0,0,대구광역시 동구 이노밸리로 255 (신서동) 새론중학교,3,서비스,새론중학교
24,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,대구광역시 수성구 상화로 122-1 (두산동) 나라빌딩,1,서비스,나라솔루션(주)
25,섬유·의복 분야 단순 종사원,1,0,9620,0,0,0,0,"대전광역시 동구 매봉로 18 (가양동, 가양시장) 2층 제5호",1,생산/제조,주식회사 미르어패럴
26,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",0,0,9620,0,0,0,0,부산광역시 기장군 정관읍 예림1로 82 장애인공존협회,1,서비스,(사)한국장애인공존협회
27,지하철 택배원,1,2,1020000,0,0,0,0,서울특별시 종로구 종로43길 9 종로행복일굼터 2~3층 (종로6가),1,무역/유통,종로행복일굼터
28,모니터 요원,0,2,900000,0,0,0,0,서울특별시 종로구 청계천로 1 동아미디어센터 (서린동),4,서비스,(주)채널에이
29,사무 보조원(공공기관),0,2,2010580,0,0,0,0,"세종특별자치시 정부2청사로 10 3충 301, 302호(나성동)",1,경영/사무,한국수목원정원관리원
30,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 남구 돋질로 233 (달동),3,경영/사무,울산남구청
31,사무 보조원(공공기관),0,0,9620,0,0,0,0,울산광역시 동구 봉수로 155 (화정동),3,경영/사무,울산광역시동구청
